PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
5.74815,6.0027,814.545,0.4749,1.49E-06,48.38709677,46.23655914,3.225806452,2.150537634,0,0,0,1.001049553
19.51272,19.719,2405.1,0.76344,1.77E-06,48.38709677,41.93548387,3.225806452,6.451612903,0,0,0,1.645228951
16.31454,16.86472,2499.71,0.74488,1.77E-06,46.37681159,43.47826087,2.898550725,7.246376812,0,0,0,1.59437347
13.20303,13.63705,2253.71,0.70456,1.64E-06,44.73684211,44.73684211,2.631578947,7.894736842,0,0,0,1.464077396
7.29541,8.24978,1446.3,0.55752,2.55E-06,59.3220339,37.28813559,3.389830508,0,0,0,0,1.928004458
9.76618,9.97178,1362.67,0.54978,2.65E-06,55.88235294,41.17647059,2.941176471,0,0,0,0,1.923531755
7.64416,11.5101,7808.9,0.83824,3.43E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,3.237861753
5.7532,6.34336,7366.96,0.76046,5.31E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,4.406472865
4.72002,7.67734,2271.83,0.6805,3.20E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,2.572009924
5.64925,5.87881,1342.79,0.595,2.67E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,1.776304645
12.10114,14.32155,5208.58,0.87284,4.59E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,4.255632566
6.98122,7.53693,3097.61,0.71624,3.33E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,2.636352334
7.73396,7.85886,1440.3,0.57478,1.07E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.933111836
9.94781,10.00281,1750.28,0.6094,1.09E-06,57.52212389,38.9380531,3.539823009,0,0,0,0,0.998720693
6.35265,7.06143,1919.39,0.60348,2.37E-06,54.63917526,37.11340206,4.12371134,4.12371134,0,0,0,1.836971745
13.66038,16.30857,6103.73,0.83908,3.84E-06,57.48031496,36.22047244,6.299212598,0,0,0,0,3.472454259
12.29168,13.46817,7323.52,0.85572,3.95E-06,60,36.52173913,3.47826087,0,0,0,0,3.751401136
4.40763,5.97729,426.484,0.4716,1.98E-06,58.51851852,38.51851852,2.962962963,0,0,0,0,1.109364084
23.92012,24.32238,2336.97,0.7301,1.97E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,1.716817344
24.67918,25.26263,3204.67,0.78698,2.95E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,2.633797358
24.5031,27.99964,7999.61,0.91452,4.06E-06,53.84615385,35.8974359,5.128205128,5.128205128,0,0,0,3.947028985
32.02224,34.88694,8240.71,0.9303,4.70E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,4.536826018
38.93275,41.51063,8717.54,0.93942,5.23E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,4.99834968
27.22939,27.58431,2220.86,0.7517,2.05E-06,56.75675676,32.43243243,5.405405405,0,0,0,5.405405405,1.753324075
18.07182,18.53359,1954.44,0.70566,1.56E-06,58,36,6,0,0,0,0,1.409027856
9.97193,10.44945,1823.55,0.62708,1.93E-06,50,33.33333333,16.66666667,0,0,0,0,1.662293629
9.29839,9.76611,1544.51,0.59258,2.09E-06,50,33.33333333,16.66666667,0,0,0,0,1.722619032
29.11056,29.29453,1870.34,0.7632,1.68E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,1.59118178
29.68302,29.86296,2071.6,0.78602,1.63E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,1.545448062
12.07344,12.33825,3298.03,0.75084,1.73E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,1.63641979
10.1596,10.5606,1305.72,0.57934,1.91E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,1.580775313
31.67982,31.93506,2448.75,0.82536,1.94E-06,54.54545455,27.27272727,4.545454545,9.090909091,4.545454545,0,0,1.852915054
11.36215,11.54437,1129.92,0.55868,1.73E-06,60,25,5,10,0,0,0,1.430872979
12.6352,13.02033,1452.87,0.61674,2.60E-06,60,20,10,10,0,0,0,2.062820539
28.67772,28.86447,1950.31,0.771,1.88E-06,60,30,5,5,0,0,0,1.74000457
16.56768,16.88792,1714.36,0.66374,1.68E-06,61.53846154,38.46153846,0,0,0,0,0,1.504800528
21.08443,21.27538,2039.01,0.6908,1.91E-06,54.83870968,38.70967742,3.225806452,0,0,0,3.225806452,1.617563619
21.54252,21.84179,2043.69,0.7174,1.71E-06,60.71428571,32.14285714,3.571428571,0,0,0,3.571428571,1.492369333
15.58649,15.79013,1927.2,0.68516,1.53E-06,59.52380952,35.71428571,4.761904762,0,0,0,0,1.39281183
22.49727,22.82201,2287.09,0.75268,1.80E-06,58.18181818,36.36363636,5.454545455,0,0,0,0,1.637939475
13.84176,14.11905,1836.85,0.6642,1.53E-06,59.52380952,35.71428571,4.761904762,0,0,0,0,1.358236134
29.88783,30.08263,1741.96,0.7759,1.99E-06,57.89473684,21.05263158,0,10.52631579,5.263157895,0,5.263157895,1.805838053
31.38514,31.68082,2277.34,0.77402,2.21E-06,58.13953488,32.55813953,4.651162791,0,0,0,4.651162791,1.907042929
23.42764,23.68646,1782.64,0.72634,2.27E-06,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,1.86912424
7.49194,8.42477,5204.86,0.77266,3.88E-06,47.82608696,43.47826087,8.695652174,0,0,0,0,3.51121064
7.37376,8.49886,4304.48,0.7488,3.78E-06,44,40,8,8,0,0,0,3.333733342
31.32681,31.50293,2056.26,0.73294,1.77E-06,56.98924731,36.55913978,6.451612903,0,0,0,0,1.566982367
9.73082,11.35144,3488.17,0.71632,3.18E-06,56.98924731,36.55913978,6.451612903,0,0,0,0,2.794277079
8.981,9.50439,1091.97,0.50322,1.92E-06,50,37.5,6.25,0,6.25,0,0,1.485570583
15.93388,16.0767,2731.74,0.72326,2.05E-06,56.06060606,36.36363636,7.575757576,0,0,0,0,1.815545003
15.87921,16.17243,1425.81,0.62994,1.78E-06,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,1.551544108
35.2441,35.39294,1897.75,0.79356,1.98E-06,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,1.807167548
32.73607,32.90312,1910.99,0.78096,2.05E-06,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,1.823475752
8.53533,9.02441,928.833,0.4902,2.01E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,1.435192762
8.54051,9.02697,907.124,0.48356,2.02E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,1.448985456
10.6911,11.33366,1450.41,0.57354,2.07E-06,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,1.641139037
34.44668,34.61497,1924.91,0.79376,1.99E-06,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,1.84686995
22.28222,22.52993,1811.83,0.73536,1.73E-06,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,1.558293281
29.34631,29.53268,1927.96,0.77516,1.93E-06,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,1.769035621
14.50589,14.87005,1498.63,0.64632,1.66E-06,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,1.467114166
15.39744,15.74056,1641.19,0.67062,1.50E-06,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,1.341543292
34.82461,34.97956,1866.35,0.79366,1.97E-06,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,1.798537321
