PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-1bar (mol/kg)
5.74816,6.0027,837.66699,0.47725,2.04E-07,48.38709677,46.23655914,3.225806452,2.150537634,0,0,0,0.020750974
19.51272,19.719,2413.69995,0.76503,7.68E-07,48.38709677,41.93548387,3.225806452,6.451612903,0,0,0,0.0767066
16.31454,16.86472,2502.93994,0.74762,7.13E-07,46.37681159,43.47826087,2.898550725,7.246376812,0,0,0,0.071147163
13.20257,13.63704,2262.16992,0.70369,5.82E-07,44.73684211,44.73684211,2.631578947,7.894736842,0,0,0,0.056413937
7.29541,8.24978,1463.32996,0.55906,3.99E-07,59.3220339,37.28813559,3.389830508,0,0,0,0,0.039918865
9.76591,9.9715,1374.06995,0.54992,4.17E-07,55.88235294,41.17647059,2.941176471,0,0,0,0,0.041902884
7.64416,11.50422,7795.7002,0.83789,1.48E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,0.148477209
5.7532,6.32614,7445.02002,0.75824,1.12E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,0.112429641
4.72002,7.67734,2326.67993,0.67864,6.20E-07,54.71698113,37.73584906,7.547169811,0,0,0,0,0.062284504
5.64925,5.87881,1367.06006,0.59478,3.87E-07,54.71698113,37.73584906,7.547169811,0,0,0,0,0.037671426
12.10114,14.32155,5205.54004,0.87184,1.67E-06,54.71698113,37.73584906,7.547169811,0,0,0,0,0.168405207
6.98122,7.53693,3176.15991,0.71748,7.63E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.076391507
7.73396,7.85886,1465.04004,0.57458,2.99E-07,56.98924731,38.70967742,4.301075269,0,0,0,0,0.029951706
9.94781,10.00281,1770.72998,0.61103,3.60E-07,57.52212389,38.9380531,3.539823009,0,0,0,0,0.035656056
6.35265,7.06143,1937.55005,0.60387,4.42E-07,54.63917526,37.11340206,4.12371134,4.12371134,0,0,0,0.0435793
13.66038,16.30857,6104.91992,0.83932,1.47E-06,57.48031496,36.22047244,6.299212598,0,0,0,0,0.148044689
12.29168,13.46817,7309.81006,0.8534,1.70E-06,60,36.52173913,3.47826087,0,0,0,0,0.170454037
4.40763,5.96864,439.423,0.4734,2.11E-07,58.51851852,38.51851852,2.962962963,0,0,0,0,0.021109436
23.92011,24.32238,2344.42993,0.73042,6.58E-07,56.75675676,37.83783784,5.405405405,0,0,0,0,0.065200152
24.67919,25.26264,3221.18994,0.78652,1.06E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,0.103533198
24.50311,25.03222,2721.07007,0.77,2.58E-06,53.84615385,35.8974359,5.128205128,5.128205128,0,0,0,0.259231808
