PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal
17.06999,21.84517,5678.71,0.88252,1.86E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
9.74301,10.75176,6313.24,0.82104,1.25E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
10.21185,15.53926,6241.55,0.84612,1.42E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
15.56303,17.62281,5324.04,0.80324,1.19E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
14.79019,16.8541,6032.5,0.87592,1.78E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
14.79019,16.8541,6032.5,0.87592,1.78E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
5.89921,10.11774,4987.26,0.75306,1.03E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
5.89921,10.11774,4987.26,0.75306,1.03E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
19.62895,30.79087,6205.06,0.9027,2.18E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
11.91195,14.46784,5234.51,0.79782,1.16E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
6.93423,8.34558,5454.1,0.74714,1.02E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
14.50577,14.74279,5831.09,0.85374,1.54E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
18.74507,39.77931,6257.65,0.90436,2.25E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
14.56706,33.17784,5907.24,0.88992,2.00E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
4.51964,6.11937,633.082,0.56614,3.72E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
16.33724,19.21226,6112.25,0.89198,1.95E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
8.94172,12.3633,4958.27,0.7826,1.05E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
18.85264,21.5716,5919.04,0.89194,1.96E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
8.4538,11.82927,5169.1,0.78676,1.06E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
13.96371,18.56935,5949.73,0.86678,1.61E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0
14.56626,16.44316,3423.09,0.75926,8.12E-07,50,20.83333333,8.333333333,20.83333333,0,0,0
17.31955,38.31783,4756.28,0.8818,1.52E-06,50,20.83333333,8.333333333,20.83333333,0,0,0
10.14693,13.11389,4194.72,0.78252,1.02E-06,60,30,0,10,0,0,0
6.24851,6.59903,1300.99,0.58182,5.45E-07,61.44578313,33.73493976,0,4.819277108,0,0,0
17.82417,34.0475,4539.65,0.89794,2.03E-06,63.63636364,31.16883117,0,5.194805195,0,0,0
7.60479,9.31044,4093.03,0.74748,1.01E-06,64.9122807,31.57894737,0,3.50877193,0,0,0
4.34066,4.97307,1545.76,0.61796,6.66E-07,60,30,0,10,0,0,0
